"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 23 14:10:25 GMT 2025","Mon Jun 23 14:10:25 GMT 2025","474","","api.tests.users.PutUserTest","","api.tests.users.PutUserTest","putInvalidUser","Try to update a user with invalid data",""
"passed","Mon Jun 23 14:10:26 GMT 2025","Mon Jun 23 14:10:26 GMT 2025","60","","api.tests.users.PostUserTest","","api.tests.users.PostUserTest","postDuplicatedEmail","Try to create a user with a duplicated email",""
"skipped","Mon Jun 23 14:10:26 GMT 2025","Mon Jun 23 14:10:26 GMT 2025","0","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUsersByInvalidName","getUsersByInvalidName()",""
"passed","Mon Jun 23 14:10:26 GMT 2025","Mon Jun 23 14:10:26 GMT 2025","104","","api.tests.users.DeleteUserTest","","api.tests.users.DeleteUserTest","deleteUserSuccess","Delete user",""
"skipped","Mon Jun 23 14:10:26 GMT 2025","Mon Jun 23 14:10:26 GMT 2025","0","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUsersByInvalidEmail","getUsersByInvalidEmail()","Not implemented test"
"passed","Mon Jun 23 14:10:26 GMT 2025","Mon Jun 23 14:10:26 GMT 2025","128","","api.tests.users.PostUserTest","","api.tests.users.PostUserTest","postUser","Create a new user",""
"passed","Mon Jun 23 14:10:26 GMT 2025","Mon Jun 23 14:10:26 GMT 2025","139","","api.tests.users.PutUserTest","","api.tests.users.PutUserTest","putUser","Update user",""
"skipped","Mon Jun 23 14:10:26 GMT 2025","Mon Jun 23 14:10:26 GMT 2025","0","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUsersByInvalidAdmin","getUsersByInvalidAdmin()",""
"passed","Mon Jun 23 14:10:26 GMT 2025","Mon Jun 23 14:10:26 GMT 2025","52","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUsersByInvalidId","Try get user by invalid id",""
"passed","Mon Jun 23 14:10:26 GMT 2025","Mon Jun 23 14:10:26 GMT 2025","160","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUsersByEmail","Get user by email",""
"passed","Mon Jun 23 14:10:26 GMT 2025","Mon Jun 23 14:10:26 GMT 2025","31","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUsersById","Get user by id",""
"passed","Mon Jun 23 14:10:26 GMT 2025","Mon Jun 23 14:10:26 GMT 2025","50","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUserByName","Get user by name",""
"passed","Mon Jun 23 14:10:25 GMT 2025","Mon Jun 23 14:10:25 GMT 2025","471","","api.tests.users.DeleteUserTest","","api.tests.users.DeleteUserTest","deleteInvalidUser","Try to delete an invalid user",""
