"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 23 13:54:19 GMT 2025","Mon Jun 23 13:54:19 GMT 2025","51","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUserByName","Get user by name",""
"passed","Mon Jun 23 13:54:18 GMT 2025","Mon Jun 23 13:54:18 GMT 2025","162","","api.tests.users.DeleteUserTest","","api.tests.users.DeleteUserTest","deleteUserSuccess","Delete user",""
"passed","Mon Jun 23 13:54:18 GMT 2025","Mon Jun 23 13:54:18 GMT 2025","395","","api.tests.users.PutUserTest","","api.tests.users.PutUserTest","putInvalidUser","Try to update a user with invalid data",""
"skipped","Mon Jun 23 13:54:18 GMT 2025","Mon Jun 23 13:54:18 GMT 2025","0","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUsersByInvalidAdmin","getUsersByInvalidAdmin()",""
"passed","Mon Jun 23 13:54:19 GMT 2025","Mon Jun 23 13:54:19 GMT 2025","68","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUsersByInvalidId","Try get user by invalid id",""
"passed","Mon Jun 23 13:54:18 GMT 2025","Mon Jun 23 13:54:19 GMT 2025","159","","api.tests.users.PostUserTest","","api.tests.users.PostUserTest","postUser","Create a new user",""
"skipped","Mon Jun 23 13:54:18 GMT 2025","Mon Jun 23 13:54:18 GMT 2025","0","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUsersByInvalidEmail","getUsersByInvalidEmail()","Not implemented test"
"passed","Mon Jun 23 13:54:19 GMT 2025","Mon Jun 23 13:54:19 GMT 2025","52","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUsersById","Get user by id",""
"passed","Mon Jun 23 13:54:18 GMT 2025","Mon Jun 23 13:54:18 GMT 2025","151","","api.tests.users.PutUserTest","","api.tests.users.PutUserTest","putUser","Update user",""
"passed","Mon Jun 23 13:54:17 GMT 2025","Mon Jun 23 13:54:18 GMT 2025","396","","api.tests.users.DeleteUserTest","","api.tests.users.DeleteUserTest","deleteInvalidUser","Try to delete an invalid user",""
"skipped","Mon Jun 23 13:54:19 GMT 2025","Mon Jun 23 13:54:19 GMT 2025","0","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUsersByInvalidName","getUsersByInvalidName()",""
"passed","Mon Jun 23 13:54:19 GMT 2025","Mon Jun 23 13:54:19 GMT 2025","103","","api.tests.users.PostUserTest","","api.tests.users.PostUserTest","postDuplicatedEmail","Try to create a user with a duplicated email",""
"passed","Mon Jun 23 13:54:18 GMT 2025","Mon Jun 23 13:54:19 GMT 2025","144","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUsersByEmail","Get user by email",""
