"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jun 23 15:03:25 GMT 2025","Mon Jun 23 15:03:26 GMT 2025","95","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUserByName","Get user by name",""
"passed","Mon Jun 23 15:03:24 GMT 2025","Mon Jun 23 15:03:25 GMT 2025","514","","api.tests.users.DeleteUserTest","","api.tests.users.DeleteUserTest","deleteInvalidUser","Try to delete an invalid user",""
"skipped","Mon Jun 23 15:03:26 GMT 2025","Mon Jun 23 15:03:26 GMT 2025","0","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUsersByInvalidName","getUsersByInvalidName()",""
"passed","Mon Jun 23 15:03:26 GMT 2025","Mon Jun 23 15:03:26 GMT 2025","150","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUsersByInvalidId","Try get user by invalid id",""
"passed","Mon Jun 23 15:03:26 GMT 2025","Mon Jun 23 15:03:26 GMT 2025","78","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUsersById","Get user by id",""
"skipped","Mon Jun 23 15:03:25 GMT 2025","Mon Jun 23 15:03:25 GMT 2025","0","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUsersByInvalidAdmin","getUsersByInvalidAdmin()",""
"passed","Mon Jun 23 15:03:25 GMT 2025","Mon Jun 23 15:03:25 GMT 2025","186","","api.tests.users.PutUserTest","","api.tests.users.PutUserTest","putUser","Update user",""
"passed","Mon Jun 23 15:03:24 GMT 2025","Mon Jun 23 15:03:25 GMT 2025","514","","api.tests.users.PutUserTest","","api.tests.users.PutUserTest","putInvalidUser","Try to update a user with invalid data",""
"passed","Mon Jun 23 15:03:25 GMT 2025","Mon Jun 23 15:03:25 GMT 2025","175","","api.tests.users.PostUserTest","","api.tests.users.PostUserTest","postUser","Create a new user",""
"passed","Mon Jun 23 15:03:25 GMT 2025","Mon Jun 23 15:03:26 GMT 2025","174","","api.tests.users.PostUserTest","","api.tests.users.PostUserTest","postDuplicatedEmail","Try to create a user with a duplicated email",""
"passed","Mon Jun 23 15:03:25 GMT 2025","Mon Jun 23 15:03:25 GMT 2025","230","","api.tests.users.DeleteUserTest","","api.tests.users.DeleteUserTest","deleteUserSuccess","Delete user",""
"skipped","Mon Jun 23 15:03:25 GMT 2025","Mon Jun 23 15:03:25 GMT 2025","0","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUsersByInvalidEmail","getUsersByInvalidEmail()","Not implemented test"
"passed","Mon Jun 23 15:03:25 GMT 2025","Mon Jun 23 15:03:25 GMT 2025","151","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUsersByEmail","Get user by email",""
