"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 08 15:46:12 GMT 2024","Fri Nov 08 15:46:12 GMT 2024","358","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUsersByEmail","Get user by email",""
"passed","Fri Nov 08 15:46:12 GMT 2024","Fri Nov 08 15:46:12 GMT 2024","446","","api.tests.users.PutUserTest","","api.tests.users.PutUserTest","putInvalidUser","Try to update a user with invalid data",""
"skipped","Fri Nov 08 15:46:12 GMT 2024","Fri Nov 08 15:46:12 GMT 2024","0","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUsersByInvalidName","getUsersByInvalidName()",""
"passed","Fri Nov 08 15:46:13 GMT 2024","Fri Nov 08 15:46:13 GMT 2024","170","","api.tests.users.DeleteUserTest","","api.tests.users.DeleteUserTest","deleteUserSuccess","Delete user",""
"passed","Fri Nov 08 15:46:13 GMT 2024","Fri Nov 08 15:46:13 GMT 2024","140","","api.tests.users.PostUserTest","","api.tests.users.PostUserTest","postDuplicatedEmail","Try to create a user with a duplicated email",""
"passed","Fri Nov 08 15:46:13 GMT 2024","Fri Nov 08 15:46:13 GMT 2024","152","","api.tests.users.DeleteUserTest","","api.tests.users.DeleteUserTest","deleteInvalidUser","Try to delete an invalid user",""
"passed","Fri Nov 08 15:46:12 GMT 2024","Fri Nov 08 15:46:12 GMT 2024","71","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUsersById","Get user by id",""
"passed","Fri Nov 08 15:46:13 GMT 2024","Fri Nov 08 15:46:13 GMT 2024","137","","api.tests.users.PostUserTest","","api.tests.users.PostUserTest","postUser","Create a new user",""
"skipped","Fri Nov 08 15:46:12 GMT 2024","Fri Nov 08 15:46:12 GMT 2024","1","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUsersByInvalidEmail","getUsersByInvalidEmail()","Not implemented test"
"passed","Fri Nov 08 15:46:12 GMT 2024","Fri Nov 08 15:46:12 GMT 2024","73","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUserByName","Get user by name",""
"passed","Fri Nov 08 15:46:12 GMT 2024","Fri Nov 08 15:46:13 GMT 2024","82","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUsersByInvalidId","Try get user by invalid id",""
"passed","Fri Nov 08 15:46:12 GMT 2024","Fri Nov 08 15:46:12 GMT 2024","179","","api.tests.users.PutUserTest","","api.tests.users.PutUserTest","putUser","Update user",""
"skipped","Fri Nov 08 15:46:12 GMT 2024","Fri Nov 08 15:46:12 GMT 2024","0","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUsersByInvalidAdmin","getUsersByInvalidAdmin()",""
