"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 08 17:03:09 GMT 2024","Fri Nov 08 17:03:09 GMT 2024","51","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUsersById","Get user by id",""
"skipped","Fri Nov 08 17:03:09 GMT 2024","Fri Nov 08 17:03:09 GMT 2024","0","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUsersByInvalidName","getUsersByInvalidName()",""
"skipped","Fri Nov 08 17:03:09 GMT 2024","Fri Nov 08 17:03:09 GMT 2024","1","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUsersByInvalidEmail","getUsersByInvalidEmail()","Not implemented test"
"skipped","Fri Nov 08 17:03:09 GMT 2024","Fri Nov 08 17:03:09 GMT 2024","0","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUsersByInvalidAdmin","getUsersByInvalidAdmin()",""
"passed","Fri Nov 08 17:03:09 GMT 2024","Fri Nov 08 17:03:09 GMT 2024","395","","api.tests.users.PutUserTest","","api.tests.users.PutUserTest","putInvalidUser","Try to update a user with invalid data",""
"passed","Fri Nov 08 17:03:10 GMT 2024","Fri Nov 08 17:03:10 GMT 2024","120","","api.tests.users.DeleteUserTest","","api.tests.users.DeleteUserTest","deleteUserSuccess","Delete user",""
"passed","Fri Nov 08 17:03:10 GMT 2024","Fri Nov 08 17:03:10 GMT 2024","109","","api.tests.users.PostUserTest","","api.tests.users.PostUserTest","postUser","Create a new user",""
"passed","Fri Nov 08 17:03:10 GMT 2024","Fri Nov 08 17:03:10 GMT 2024","115","","api.tests.users.DeleteUserTest","","api.tests.users.DeleteUserTest","deleteInvalidUser","Try to delete an invalid user",""
"passed","Fri Nov 08 17:03:09 GMT 2024","Fri Nov 08 17:03:09 GMT 2024","284","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUsersByEmail","Get user by email",""
"passed","Fri Nov 08 17:03:09 GMT 2024","Fri Nov 08 17:03:09 GMT 2024","118","","api.tests.users.PutUserTest","","api.tests.users.PutUserTest","putUser","Update user",""
"passed","Fri Nov 08 17:03:10 GMT 2024","Fri Nov 08 17:03:10 GMT 2024","90","","api.tests.users.PostUserTest","","api.tests.users.PostUserTest","postDuplicatedEmail","Try to create a user with a duplicated email",""
"passed","Fri Nov 08 17:03:09 GMT 2024","Fri Nov 08 17:03:09 GMT 2024","51","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUsersByInvalidId","Try get user by invalid id",""
"passed","Fri Nov 08 17:03:09 GMT 2024","Fri Nov 08 17:03:09 GMT 2024","48","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUserByName","Get user by name",""
