"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 08 17:04:49 GMT 2024","Fri Nov 08 17:04:49 GMT 2024","51","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUserByName","Get user by name",""
"passed","Fri Nov 08 17:04:49 GMT 2024","Fri Nov 08 17:04:49 GMT 2024","49","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUsersById","Get user by id",""
"passed","Fri Nov 08 17:04:49 GMT 2024","Fri Nov 08 17:04:49 GMT 2024","351","","api.tests.users.PutUserTest","","api.tests.users.PutUserTest","putInvalidUser","Try to update a user with invalid data",""
"skipped","Fri Nov 08 17:04:49 GMT 2024","Fri Nov 08 17:04:49 GMT 2024","0","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUsersByInvalidName","getUsersByInvalidName()",""
"passed","Fri Nov 08 17:04:49 GMT 2024","Fri Nov 08 17:04:49 GMT 2024","103","","api.tests.users.PutUserTest","","api.tests.users.PutUserTest","putUser","Update user",""
"passed","Fri Nov 08 17:04:49 GMT 2024","Fri Nov 08 17:04:49 GMT 2024","51","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUsersByInvalidId","Try get user by invalid id",""
"skipped","Fri Nov 08 17:04:49 GMT 2024","Fri Nov 08 17:04:49 GMT 2024","0","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUsersByInvalidAdmin","getUsersByInvalidAdmin()",""
"skipped","Fri Nov 08 17:04:49 GMT 2024","Fri Nov 08 17:04:49 GMT 2024","1","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUsersByInvalidEmail","getUsersByInvalidEmail()","Not implemented test"
"passed","Fri Nov 08 17:04:49 GMT 2024","Fri Nov 08 17:04:49 GMT 2024","256","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUsersByEmail","Get user by email",""
"passed","Fri Nov 08 17:04:50 GMT 2024","Fri Nov 08 17:04:50 GMT 2024","117","","api.tests.users.PostUserTest","","api.tests.users.PostUserTest","postUser","Create a new user",""
"passed","Fri Nov 08 17:04:50 GMT 2024","Fri Nov 08 17:04:50 GMT 2024","81","","api.tests.users.PostUserTest","","api.tests.users.PostUserTest","postDuplicatedEmail","Try to create a user with a duplicated email",""
"passed","Fri Nov 08 17:04:50 GMT 2024","Fri Nov 08 17:04:50 GMT 2024","95","","api.tests.users.DeleteUserTest","","api.tests.users.DeleteUserTest","deleteUserSuccess","Delete user",""
"passed","Fri Nov 08 17:04:50 GMT 2024","Fri Nov 08 17:04:50 GMT 2024","131","","api.tests.users.DeleteUserTest","","api.tests.users.DeleteUserTest","deleteInvalidUser","Try to delete an invalid user",""
