"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 08 15:25:22 GMT 2024","Fri Nov 08 15:25:22 GMT 2024","226","","api.tests.users.PutUserTest","","api.tests.users.PutUserTest","putInvalidUser","Try to update a user with invalid data",""
"passed","Fri Nov 08 15:25:21 GMT 2024","Fri Nov 08 15:25:21 GMT 2024","484","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUsersByEmail","Get user by email",""
"skipped","Fri Nov 08 15:25:21 GMT 2024","Fri Nov 08 15:25:21 GMT 2024","0","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUsersByInvalidAdmin","getUsersByInvalidAdmin()",""
"passed","Fri Nov 08 15:25:22 GMT 2024","Fri Nov 08 15:25:22 GMT 2024","145","","api.tests.users.DeleteUserTest","","api.tests.users.DeleteUserTest","deleteInvalidUser","Try to delete an invalid user",""
"passed","Fri Nov 08 15:25:22 GMT 2024","Fri Nov 08 15:25:22 GMT 2024","154","","api.tests.users.PostUserTest","","api.tests.users.PostUserTest","postDuplicatedEmail","Try to create a user with a duplicated email",""
"passed","Fri Nov 08 15:25:22 GMT 2024","Fri Nov 08 15:25:22 GMT 2024","146","","api.tests.users.PostUserTest","","api.tests.users.PostUserTest","postUser","Create a new user",""
"passed","Fri Nov 08 15:25:21 GMT 2024","Fri Nov 08 15:25:21 GMT 2024","79","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUserByName","Get user by name",""
"passed","Fri Nov 08 15:25:22 GMT 2024","Fri Nov 08 15:25:22 GMT 2024","190","","api.tests.users.PutUserTest","","api.tests.users.PutUserTest","putUser","Update user",""
"skipped","Fri Nov 08 15:25:20 GMT 2024","Fri Nov 08 15:25:20 GMT 2024","1","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUsersByInvalidEmail","getUsersByInvalidEmail()","Not implemented test"
"passed","Fri Nov 08 15:25:21 GMT 2024","Fri Nov 08 15:25:21 GMT 2024","80","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUsersById","Get user by id",""
"skipped","Fri Nov 08 15:25:21 GMT 2024","Fri Nov 08 15:25:21 GMT 2024","0","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUsersByInvalidName","getUsersByInvalidName()",""
"passed","Fri Nov 08 15:25:22 GMT 2024","Fri Nov 08 15:25:22 GMT 2024","217","","api.tests.users.DeleteUserTest","","api.tests.users.DeleteUserTest","deleteUserSuccess","Delete user",""
"broken","Fri Nov 08 15:25:21 GMT 2024","Fri Nov 08 15:25:21 GMT 2024","0","","e2e.tests.LoginTest","","e2e.tests.LoginTest","","LoginTest",""
"passed","Fri Nov 08 15:25:21 GMT 2024","Fri Nov 08 15:25:21 GMT 2024","79","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUsersByInvalidId","Try get user by invalid id",""
"broken","Fri Nov 08 15:25:21 GMT 2024","Fri Nov 08 15:25:21 GMT 2024","0","","e2e.tests.ProductTest","","e2e.tests.ProductTest","","ProductTest",""
